date,platform,order_id,sku,product,qty,price,discount,marketplace_fee,packing_cost,ad_cost_allocated,hpp,gross_revenue,net_revenue,net_profit,net_margin,order_status
2026-05-22,Tokopedia,ORD-1354,VNL-30,Vanilla Sweet 30ml,2,75000,15080,10450,2400,14177,24500,150000,124470,58893,0.39262,completed
2026-05-22,TikTok Shop,ORD-1355,SAV-50,Sauvage Night 50ml,1,129000,13266,10493,1500,12683,42000,129000,105241,49058,0.38029457364341085,completed
2026-05-22,Shopee,ORD-1356,OCN-30,Ocean Blue 30ml,1,79000,9235,6553,2000,6168,25500,79000,63212,29544,0.3739746835443038,completed
2026-05-22,Tokopedia,ORD-1357,MSK-30,Musk White 30ml,1,85000,7167,5084,2000,5400,28000,85000,72749,37349,0.4394,completed
2026-05-22,Tokopedia,ORD-1358,MSK-30,Musk White 30ml,1,85000,6165,4745,2000,9507,28000,85000,74090,34583,0.4068588235294118,completed
2026-05-22,Tokopedia,ORD-1359,VNL-30,Vanilla Sweet 30ml,1,75000,4278,5367,1200,9587,24500,75000,65355,30068,0.4009066666666667,shipped
2026-05-22,Tokopedia,ORD-1360,VNL-30,Vanilla Sweet 30ml,1,75000,7916,4670,1200,4428,24500,75000,62414,32286,0.43048,completed
2026-05-22,Shopee,ORD-1361,RGE-35,Rouge 540 35ml,1,99000,6957,8373,1200,6416,32000,99000,83670,44054,0.444989898989899,returned
2026-05-22,TikTok Shop,ORD-1362,OCN-50,Ocean Blue 50ml,2,119000,11389,20328,4000,20616,38000,238000,206283,105667,0.4439789915966387,completed
2026-05-22,TikTok Shop,ORD-1363,SAV-50,Sauvage Night 50ml,1,129000,14154,10056,2000,5149,42000,129000,104790,55641,0.4313255813953488,completed
2026-05-22,Shopee,ORD-1364,RGE-35,Rouge 540 35ml,1,99000,5587,6789,2000,3864,32000,99000,86624,48760,0.49252525252525253,completed
2026-05-22,Shopee,ORD-1365,OCN-30,Ocean Blue 30ml,1,79000,8319,5184,1500,8219,25500,79000,65497,30278,0.38326582278481014,completed
2026-05-22,Tokopedia,ORD-1366,RGE-35,Rouge 540 35ml,2,99000,13131,17613,3000,14461,32000,198000,167256,85795,0.4333080808080808,shipped
2026-05-22,TikTok Shop,ORD-1367,MSK-30,Musk White 30ml,1,85000,3727,6404,1500,5337,28000,85000,74869,40032,0.47096470588235295,completed
2026-05-22,Shopee,ORD-1368,RGE-35,Rouge 540 35ml,1,99000,8392,7822,1200,3154,32000,99000,82786,46432,0.469010101010101,completed
2026-05-22,Shopee,ORD-1369,RGE-35,Rouge 540 35ml,1,99000,4735,5586,1500,11620,32000,99000,88679,43559,0.439989898989899,completed
2026-05-22,Tokopedia,ORD-1370,OCN-30,Ocean Blue 30ml,2,79000,17704,10409,4000,5280,25500,158000,129887,69607,0.4405506329113924,completed
2026-05-22,Tokopedia,ORD-1371,VNL-30,Vanilla Sweet 30ml,2,75000,8793,13528,3000,15705,24500,150000,127679,59974,0.39982666666666666,completed
2026-05-22,Tokopedia,ORD-1372,OCN-30,Ocean Blue 30ml,1,79000,2528,6332,1200,3568,25500,79000,70140,39872,0.5047088607594936,completed
2026-05-22,TikTok Shop,ORD-1373,OCN-30,Ocean Blue 30ml,1,79000,7135,5850,1200,9826,25500,79000,66015,29489,0.3732784810126582,completed
2026-05-22,Shopee,ORD-1374,SAV-50,Sauvage Night 50ml,1,129000,10697,10551,1200,15175,42000,129000,107752,49377,0.38276744186046513,completed
2026-05-22,Shopee,ORD-1375,MSK-30,Musk White 30ml,2,85000,17628,14939,2400,12515,28000,170000,137433,66518,0.39128235294117647,completed
2026-05-22,TikTok Shop,ORD-1376,SAV-50,Sauvage Night 50ml,1,129000,5732,7152,2000,10658,42000,129000,116116,61458,0.4764186046511628,completed
2026-05-22,Tokopedia,ORD-1377,SAV-50,Sauvage Night 50ml,2,129000,28968,14811,3000,15300,42000,258000,214221,111921,0.43380232558139536,returned
2026-05-22,Tokopedia,ORD-1378,RGE-35,Rouge 540 35ml,1,99000,8062,5966,2000,6019,32000,99000,84972,44953,0.45407070707070707,completed
2026-05-22,Shopee,ORD-1379,MSK-30,Musk White 30ml,2,85000,12142,14778,2400,19271,28000,170000,143080,65409,0.38475882352941176,completed
2026-05-22,Tokopedia,ORD-1380,OCN-30,Ocean Blue 30ml,3,79000,21164,17402,4500,23296,25500,237000,198434,94138,0.3972067510548523,completed
2026-05-22,TikTok Shop,ORD-1381,OCN-30,Ocean Blue 30ml,1,79000,4666,6023,2000,9743,25500,79000,68311,31068,0.39326582278481015,completed
2026-05-22,Tokopedia,ORD-1382,SAV-50,Sauvage Night 50ml,1,129000,3956,7826,1500,11529,42000,129000,117218,62189,0.48208527131782947,completed
2026-05-22,Shopee,ORD-1383,SAV-50,Sauvage Night 50ml,2,129000,10227,15480,3000,18011,42000,258000,232293,127282,0.4933410852713178,completed
2026-05-22,Tokopedia,ORD-1384,SAV-50,Sauvage Night 50ml,2,129000,23950,20760,3000,14271,42000,258000,213290,112019,0.43418217054263564,completed
2026-05-22,Shopee,ORD-1385,VNL-30,Vanilla Sweet 30ml,1,75000,8802,4692,2000,5799,24500,75000,61506,29207,0.38942666666666664,completed
2026-05-22,Shopee,ORD-1386,RGE-35,Rouge 540 35ml,1,99000,6884,5976,1200,7725,32000,99000,86140,45215,0.45671717171717174,completed
2026-05-22,Shopee,ORD-1387,VNL-30,Vanilla Sweet 30ml,2,75000,10402,13951,4000,12962,24500,150000,125647,59685,0.3979,completed
2026-05-22,Shopee,ORD-1388,OCN-30,Ocean Blue 30ml,3,79000,8144,19620,3600,14026,25500,237000,209236,115110,0.4856962025316456,completed
2026-05-22,Shopee,ORD-1389,OCN-30,Ocean Blue 30ml,1,79000,8619,6143,1200,9970,25500,79000,64238,27568,0.3489620253164557,completed
2026-05-22,Shopee,ORD-1390,OCN-30,Ocean Blue 30ml,1,79000,9290,5582,1200,5695,25500,79000,64128,31733,0.4016835443037975,completed
2026-05-22,Tokopedia,ORD-1391,RGE-35,Rouge 540 35ml,1,99000,11800,9287,2000,10794,32000,99000,77913,33119,0.3345353535353535,completed
2026-05-22,Shopee,ORD-1392,SAV-50,Sauvage Night 50ml,2,129000,23986,16535,4000,24340,42000,258000,217479,105139,0.40751550387596897,completed
2026-05-22,Shopee,ORD-1393,RGE-35,Rouge 540 35ml,1,99000,8321,7505,1500,9241,32000,99000,83174,40433,0.4084141414141414,completed
2026-05-22,Tokopedia,ORD-1394,SAV-50,Sauvage Night 50ml,1,129000,12315,7221,2000,9468,42000,129000,109464,55996,0.43407751937984496,completed
2026-05-22,Shopee,ORD-1395,VNL-30,Vanilla Sweet 30ml,2,75000,8578,13768,4000,9493,24500,150000,127654,65161,0.43440666666666666,completed
2026-05-22,TikTok Shop,ORD-1396,RGE-35,Rouge 540 35ml,1,99000,11113,8269,1200,3913,32000,99000,79618,42505,0.42934343434343436,completed
2026-05-22,Tokopedia,ORD-1397,VNL-30,Vanilla Sweet 30ml,1,75000,8778,4859,1200,9359,24500,75000,61363,26304,0.35072,completed
2026-05-22,Tokopedia,ORD-1398,OCN-50,Ocean Blue 50ml,1,119000,11203,6704,1500,10564,38000,119000,101093,51029,0.42881512605042016,completed
2026-05-22,TikTok Shop,ORD-1399,RGE-35,Rouge 540 35ml,3,99000,9960,25899,3600,11470,32000,297000,261141,150071,0.5052895622895623,completed
2026-05-22,Tokopedia,ORD-1400,MSK-30,Musk White 30ml,1,85000,6462,6943,1500,6246,28000,85000,71595,35849,0.4217529411764706,completed
2026-05-22,TikTok Shop,ORD-1401,OCN-30,Ocean Blue 30ml,1,79000,5971,5072,1500,3884,25500,79000,67957,37073,0.46927848101265823,completed
2026-05-22,Shopee,ORD-1402,VNL-30,Vanilla Sweet 30ml,1,75000,2962,5590,2000,8166,24500,75000,66448,31782,0.42376,completed
2026-05-22,Shopee,ORD-1403,SAV-50,Sauvage Night 50ml,1,129000,5016,12061,1500,14290,42000,129000,111923,54133,0.4196356589147287,completed
2026-05-22,Tokopedia,ORD-1404,SAV-50,Sauvage Night 50ml,2,129000,29214,15164,4000,20476,42000,258000,213622,105146,0.40754263565891474,shipped
2026-05-23,Shopee,ORD-1405,OCN-30,Ocean Blue 30ml,1,79000,8558,7491,1500,9534,25500,79000,62951,26417,0.33439240506329115,completed
2026-05-23,Shopee,ORD-1406,VNL-30,Vanilla Sweet 30ml,1,75000,5826,4964,2000,7834,24500,75000,64210,29876,0.3983466666666667,completed
2026-05-23,Shopee,ORD-1407,OCN-30,Ocean Blue 30ml,1,79000,7959,6641,2000,9278,25500,79000,64400,27622,0.34964556962025317,completed
2026-05-23,TikTok Shop,ORD-1408,OCN-50,Ocean Blue 50ml,2,119000,14429,17696,4000,9006,38000,238000,205875,116869,0.49104621848739494,completed
2026-05-23,Shopee,ORD-1409,RGE-35,Rouge 540 35ml,1,99000,9094,8574,1200,4766,32000,99000,81332,43366,0.43804040404040406,completed
2026-05-23,Tokopedia,ORD-1410,VNL-30,Vanilla Sweet 30ml,1,75000,4798,6336,2000,4715,24500,75000,63866,32651,0.43534666666666666,completed
2026-05-23,Shopee,ORD-1411,RGE-35,Rouge 540 35ml,1,99000,7543,7670,1500,6273,32000,99000,83787,44014,0.4445858585858586,completed
2026-05-23,Shopee,ORD-1412,SAV-50,Sauvage Night 50ml,1,129000,9375,7154,1500,11035,42000,129000,112471,57936,0.4491162790697674,completed
2026-05-23,Shopee,ORD-1413,VNL-30,Vanilla Sweet 30ml,2,75000,5730,11978,4000,11364,24500,150000,132292,67928,0.45285333333333333,completed
2026-05-23,Shopee,ORD-1414,VNL-30,Vanilla Sweet 30ml,2,75000,10519,14216,3000,13422,24500,150000,125265,59843,0.3989533333333333,completed
2026-05-23,TikTok Shop,ORD-1415,MSK-30,Musk White 30ml,1,85000,9368,6233,1500,9287,28000,85000,69399,30612,0.36014117647058824,completed
2026-05-23,Shopee,ORD-1416,VNL-30,Vanilla Sweet 30ml,1,75000,2950,6898,2000,3793,24500,75000,65152,34859,0.4647866666666667,completed
2026-05-23,Tokopedia,ORD-1417,VNL-30,Vanilla Sweet 30ml,2,75000,16586,8633,2400,16328,24500,150000,124781,57053,0.3803533333333333,completed
2026-05-23,Tokopedia,ORD-1418,OCN-30,Ocean Blue 30ml,1,79000,4934,6091,1200,5712,25500,79000,67975,35563,0.45016455696202534,completed
2026-05-23,Shopee,ORD-1419,VNL-30,Vanilla Sweet 30ml,1,75000,7221,6319,1500,4070,24500,75000,61460,31390,0.4185333333333333,completed
2026-05-23,Shopee,ORD-1420,OCN-30,Ocean Blue 30ml,1,79000,3960,7354,1200,7648,25500,79000,67686,33338,0.422,returned
2026-05-23,Tokopedia,ORD-1421,OCN-30,Ocean Blue 30ml,1,79000,5062,4777,1500,6711,25500,79000,69161,35450,0.4487341772151899,shipped
2026-05-23,Tokopedia,ORD-1422,RGE-35,Rouge 540 35ml,1,99000,3598,5646,1500,5638,32000,99000,89756,50618,0.5112929292929292,completed
2026-05-23,Shopee,ORD-1423,RGE-35,Rouge 540 35ml,2,99000,16556,13045,3000,24822,32000,198000,168399,76577,0.38675252525252524,completed
2026-05-23,TikTok Shop,ORD-1424,OCN-30,Ocean Blue 30ml,1,79000,6735,5295,2000,6263,25500,79000,66970,33207,0.4203417721518987,completed
2026-05-23,Shopee,ORD-1425,SAV-50,Sauvage Night 50ml,1,129000,10953,10858,1200,7257,42000,129000,107189,56732,0.4397829457364341,completed
2026-05-23,Tokopedia,ORD-1426,SAV-50,Sauvage Night 50ml,1,129000,7475,9835,1500,8122,42000,129000,111690,60068,0.46564341085271316,completed
2026-05-23,Tokopedia,ORD-1427,OCN-30,Ocean Blue 30ml,2,79000,18886,11783,2400,13477,25500,158000,127331,60454,0.38262025316455694,completed
2026-05-23,Tokopedia,ORD-1428,SAV-50,Sauvage Night 50ml,1,129000,14371,8415,1500,15245,42000,129000,106214,47469,0.36797674418604653,completed
2026-05-23,Shopee,ORD-1429,SAV-50,Sauvage Night 50ml,1,129000,12638,9611,1200,13366,42000,129000,106751,50185,0.389031007751938,completed
2026-05-23,TikTok Shop,ORD-1430,OCN-30,Ocean Blue 30ml,2,79000,16327,12458,2400,12949,25500,158000,129215,62866,0.3978860759493671,completed
2026-05-23,Tokopedia,ORD-1431,OCN-30,Ocean Blue 30ml,2,79000,17815,13708,3000,15202,25500,158000,126477,57275,0.3625,completed
2026-05-23,Tokopedia,ORD-1432,MSK-30,Musk White 30ml,1,85000,7612,4790,1200,6579,28000,85000,72598,36819,0.43316470588235295,completed
2026-05-23,Tokopedia,ORD-1433,OCN-30,Ocean Blue 30ml,2,79000,18072,9691,4000,14716,25500,158000,130237,60521,0.38304430379746834,completed
2026-05-23,Tokopedia,ORD-1434,RGE-35,Rouge 540 35ml,2,99000,15501,15920,2400,15495,32000,198000,166579,84684,0.4276969696969697,completed
2026-05-23,Tokopedia,ORD-1435,SAV-50,Sauvage Night 50ml,1,129000,11915,11762,1200,14208,42000,129000,105323,47915,0.37143410852713177,completed
2026-05-23,TikTok Shop,ORD-1436,OCN-30,Ocean Blue 30ml,1,79000,3124,5952,1500,7876,25500,79000,69924,35048,0.44364556962025314,completed
2026-05-23,TikTok Shop,ORD-1437,RGE-35,Rouge 540 35ml,1,99000,9472,5637,1500,7923,32000,99000,83891,42468,0.42896969696969695,shipped
2026-05-23,TikTok Shop,ORD-1438,SAV-50,Sauvage Night 50ml,1,129000,5824,8223,1500,12890,42000,129000,114953,58563,0.4539767441860465,completed
2026-05-23,Shopee,ORD-1439,VNL-30,Vanilla Sweet 30ml,1,75000,7501,7000,1200,5508,24500,75000,60499,29291,0.39054666666666665,completed
2026-05-23,Shopee,ORD-1440,VNL-30,Vanilla Sweet 30ml,1,75000,2909,5900,1200,4349,24500,75000,66191,36142,0.48189333333333334,completed
2026-05-23,Shopee,ORD-1441,OCN-30,Ocean Blue 30ml,1,79000,4435,5613,2000,8450,25500,79000,68952,33002,0.417746835443038,completed
2026-05-23,TikTok Shop,ORD-1442,OCN-50,Ocean Blue 50ml,2,119000,21652,22054,3000,14066,38000,238000,194294,101228,0.425327731092437,completed
2026-05-23,Tokopedia,ORD-1443,OCN-50,Ocean Blue 50ml,1,119000,10546,9698,2000,14767,38000,119000,98756,43989,0.36965546218487394,completed
2026-05-23,Shopee,ORD-1444,RGE-35,Rouge 540 35ml,1,99000,9022,8477,1200,7965,32000,99000,81501,40336,0.4074343434343434,shipped
2026-05-23,TikTok Shop,ORD-1445,VNL-30,Vanilla Sweet 30ml,1,75000,8045,7084,2000,4511,24500,75000,59871,28860,0.3848,completed
2026-05-23,Tokopedia,ORD-1446,MSK-30,Musk White 30ml,1,85000,9370,6502,2000,2739,28000,85000,69128,36389,0.42810588235294117,completed
2026-05-23,Tokopedia,ORD-1447,SAV-50,Sauvage Night 50ml,1,129000,10685,12045,1500,4312,42000,129000,106270,58458,0.4531627906976744,completed
2026-05-23,Tokopedia,ORD-1448,VNL-30,Vanilla Sweet 30ml,1,75000,7383,6762,2000,7971,24500,75000,60855,26384,0.3517866666666667,completed
2026-05-23,Tokopedia,ORD-1449,MSK-30,Musk White 30ml,2,85000,14252,9491,4000,10038,28000,170000,146257,76219,0.44834705882352943,completed
2026-05-23,Shopee,ORD-1450,MSK-30,Musk White 30ml,1,85000,4787,6508,2000,7565,28000,85000,73705,36140,0.42517647058823527,completed
2026-05-23,TikTok Shop,ORD-1451,RGE-35,Rouge 540 35ml,1,99000,6269,7669,1500,12783,32000,99000,85062,38779,0.3917070707070707,completed
2026-05-23,TikTok Shop,ORD-1452,OCN-30,Ocean Blue 30ml,1,79000,4344,6423,2000,6647,25500,79000,68233,34086,0.43146835443037973,shipped
2026-05-23,Shopee,ORD-1453,SAV-50,Sauvage Night 50ml,1,129000,9057,10653,2000,16652,42000,129000,109290,48638,0.37703875968992245,completed
2026-05-23,TikTok Shop,ORD-1454,MSK-30,Musk White 30ml,3,85000,30241,23470,4500,23110,28000,255000,201289,89679,0.35168235294117645,completed
2026-05-23,Tokopedia,ORD-1455,VNL-30,Vanilla Sweet 30ml,1,75000,2482,4446,1200,7227,24500,75000,68072,35145,0.4686,completed
2026-05-23,Shopee,ORD-1456,SAV-50,Sauvage Night 50ml,1,129000,9487,9461,1200,7452,42000,129000,110052,59400,0.4604651162790698,completed
2026-05-23,Tokopedia,ORD-1457,SAV-50,Sauvage Night 50ml,1,129000,6707,8072,2000,13325,42000,129000,114221,56896,0.44105426356589145,completed
2026-05-23,Tokopedia,ORD-1458,OCN-30,Ocean Blue 30ml,1,79000,8972,4476,1200,9884,25500,79000,65552,28968,0.36668354430379746,completed
2026-05-23,Tokopedia,ORD-1459,OCN-30,Ocean Blue 30ml,1,79000,7570,6067,2000,7405,25500,79000,65363,30458,0.38554430379746835,completed
2026-05-23,Shopee,ORD-1460,RGE-35,Rouge 540 35ml,1,99000,7178,6609,2000,3227,32000,99000,85213,47986,0.4847070707070707,completed
2026-05-23,Tokopedia,ORD-1461,VNL-30,Vanilla Sweet 30ml,1,75000,6536,6395,1500,6317,24500,75000,62069,29752,0.39669333333333334,completed
2026-05-23,Tokopedia,ORD-1462,MSK-30,Musk White 30ml,2,85000,11222,9908,4000,13528,28000,170000,148870,75342,0.44318823529411766,completed
2026-05-23,Shopee,ORD-1463,VNL-30,Vanilla Sweet 30ml,1,75000,8491,5113,1500,8071,24500,75000,61396,27325,0.36433333333333334,completed
2026-05-23,Shopee,ORD-1464,OCN-30,Ocean Blue 30ml,1,79000,8011,7270,1500,3886,25500,79000,63719,32833,0.41560759493670885,completed
2026-05-23,Tokopedia,ORD-1465,OCN-30,Ocean Blue 30ml,1,79000,2777,6640,2000,9364,25500,79000,69583,32719,0.4141645569620253,completed
2026-05-23,TikTok Shop,ORD-1466,OCN-50,Ocean Blue 50ml,1,119000,12030,7030,1200,5399,38000,119000,99940,55341,0.46505042016806725,shipped
2026-05-23,TikTok Shop,ORD-1467,VNL-30,Vanilla Sweet 30ml,1,75000,8148,6217,1200,6496,24500,75000,60635,28439,0.37918666666666667,completed
2026-05-23,TikTok Shop,ORD-1468,OCN-50,Ocean Blue 50ml,1,119000,4431,10490,1500,4143,38000,119000,104079,60436,0.5078655462184873,completed
2026-05-23,TikTok Shop,ORD-1469,OCN-30,Ocean Blue 30ml,2,79000,10837,9479,2400,20237,25500,158000,137684,64047,0.4053607594936709,completed
2026-05-23,Tokopedia,ORD-1470,OCN-30,Ocean Blue 30ml,1,79000,9020,5201,2000,4334,25500,79000,64779,32945,0.4170253164556962,completed
2026-05-23,Shopee,ORD-1471,OCN-30,Ocean Blue 30ml,2,79000,8456,12779,4000,12173,25500,158000,136765,69592,0.44045569620253167,shipped
2026-05-24,TikTok Shop,ORD-1472,RGE-35,Rouge 540 35ml,1,99000,4705,8006,1500,8565,32000,99000,86289,44224,0.4467070707070707,completed
2026-05-24,TikTok Shop,ORD-1473,SAV-50,Sauvage Night 50ml,1,129000,12743,7767,1200,15177,42000,129000,108490,50113,0.3884728682170543,completed
2026-05-24,Shopee,ORD-1474,OCN-30,Ocean Blue 30ml,3,79000,24728,14583,6000,20876,25500,237000,197689,94313,0.3979451476793249,completed
2026-05-24,Shopee,ORD-1475,VNL-30,Vanilla Sweet 30ml,1,75000,4281,4135,1500,5948,24500,75000,66584,34636,0.46181333333333335,completed
2026-05-24,TikTok Shop,ORD-1476,SAV-50,Sauvage Night 50ml,1,129000,10807,9550,2000,11110,42000,129000,108643,53533,0.414984496124031,completed
2026-05-24,Shopee,ORD-1477,OCN-50,Ocean Blue 50ml,1,119000,7061,8474,2000,10103,38000,119000,103465,53362,0.4484201680672269,completed
2026-05-24,Shopee,ORD-1478,VNL-30,Vanilla Sweet 30ml,1,75000,2643,6552,1500,7800,24500,75000,65805,32005,0.42673333333333335,completed
2026-05-24,Shopee,ORD-1479,OCN-30,Ocean Blue 30ml,1,79000,4465,5150,1500,3886,25500,79000,69385,38499,0.48732911392405065,completed
2026-05-24,TikTok Shop,ORD-1480,VNL-30,Vanilla Sweet 30ml,1,75000,5548,5959,1200,3035,24500,75000,63493,34758,0.46344,shipped
2026-05-24,Tokopedia,ORD-1481,OCN-50,Ocean Blue 50ml,1,119000,9402,9618,2000,13034,38000,119000,99980,46946,0.3945042016806723,completed
2026-05-24,Shopee,ORD-1482,MSK-30,Musk White 30ml,1,85000,7380,6180,1500,10822,28000,85000,71440,31118,0.36609411764705885,completed
2026-05-24,Shopee,ORD-1483,SAV-50,Sauvage Night 50ml,1,129000,12340,8603,1500,15492,42000,129000,108057,49065,0.38034883720930235,completed
2026-05-24,Shopee,ORD-1484,VNL-30,Vanilla Sweet 30ml,1,75000,2637,6022,2000,5401,24500,75000,66341,34440,0.4592,completed
2026-05-24,TikTok Shop,ORD-1485,RGE-35,Rouge 540 35ml,1,99000,7926,8639,2000,12327,32000,99000,82435,36108,0.36472727272727273,completed
2026-05-24,Shopee,ORD-1486,OCN-30,Ocean Blue 30ml,1,79000,5409,6716,1500,6818,25500,79000,66875,33057,0.4184430379746835,completed
2026-05-24,Shopee,ORD-1487,RGE-35,Rouge 540 35ml,1,99000,3176,6428,2000,11811,32000,99000,89396,43585,0.44025252525252523,completed
2026-05-24,Shopee,ORD-1488,VNL-30,Vanilla Sweet 30ml,1,75000,8396,4756,1200,4116,24500,75000,61848,32032,0.4270933333333333,completed
2026-05-24,Shopee,ORD-1489,SAV-50,Sauvage Night 50ml,2,129000,27285,21171,3000,29320,42000,258000,209544,93224,0.36133333333333334,completed
2026-05-24,Tokopedia,ORD-1490,OCN-30,Ocean Blue 30ml,1,79000,5403,6558,1200,6853,25500,79000,67039,33486,0.423873417721519,completed
2026-05-24,Shopee,ORD-1491,RGE-35,Rouge 540 35ml,1,99000,5363,9295,2000,3636,32000,99000,84342,46706,0.4717777777777778,completed
2026-05-24,Shopee,ORD-1492,OCN-30,Ocean Blue 30ml,2,79000,18950,10627,4000,6332,25500,158000,128423,67091,0.424626582278481,completed
2026-05-24,Shopee,ORD-1493,RGE-35,Rouge 540 35ml,1,99000,9402,6021,1200,4514,32000,99000,83577,45863,0.46326262626262626,shipped
2026-05-24,Shopee,ORD-1494,RGE-35,Rouge 540 35ml,2,99000,19934,12530,3000,16242,32000,198000,165536,82294,0.4156262626262626,completed
2026-05-24,Shopee,ORD-1495,RGE-35,Rouge 540 35ml,1,99000,4711,8682,2000,5626,32000,99000,85607,45981,0.46445454545454545,completed
2026-05-24,TikTok Shop,ORD-1496,SAV-50,Sauvage Night 50ml,1,129000,9203,10815,2000,15027,42000,129000,108982,49955,0.3872480620155039,completed
2026-05-24,Shopee,ORD-1497,OCN-50,Ocean Blue 50ml,2,119000,21868,16360,4000,27863,38000,238000,199772,91909,0.386172268907563,completed
2026-05-24,Shopee,ORD-1498,OCN-50,Ocean Blue 50ml,1,119000,6998,10731,1200,6357,38000,119000,101271,55714,0.4681848739495798,completed
2026-05-24,Shopee,ORD-1499,RGE-35,Rouge 540 35ml,1,99000,8752,7347,1500,9748,32000,99000,82901,39653,0.4005353535353535,completed
2026-05-24,TikTok Shop,ORD-1500,VNL-30,Vanilla Sweet 30ml,1,75000,8844,5530,2000,9569,24500,75000,60626,24557,0.32742666666666664,completed
2026-05-24,TikTok Shop,ORD-1501,VNL-30,Vanilla Sweet 30ml,1,75000,4638,5915,2000,5139,24500,75000,64447,32808,0.43744,completed
2026-05-24,TikTok Shop,ORD-1502,MSK-30,Musk White 30ml,1,85000,4565,5709,2000,7834,28000,85000,74726,36892,0.4340235294117647,completed
2026-05-24,TikTok Shop,ORD-1503,RGE-35,Rouge 540 35ml,3,99000,27595,26276,6000,21354,32000,297000,243129,119775,0.4032828282828283,completed
2026-05-24,TikTok Shop,ORD-1504,OCN-30,Ocean Blue 30ml,1,79000,5413,6725,1500,3293,25500,79000,66862,36569,0.46289873417721517,completed
2026-05-24,Tokopedia,ORD-1505,RGE-35,Rouge 540 35ml,1,99000,9204,8619,1500,8043,32000,99000,81177,39634,0.40034343434343433,completed
2026-05-24,Tokopedia,ORD-1506,SAV-50,Sauvage Night 50ml,1,129000,15155,8125,1200,10449,42000,129000,105720,52071,0.4036511627906977,completed
2026-05-24,Shopee,ORD-1507,VNL-30,Vanilla Sweet 30ml,1,75000,4563,4402,2000,8965,24500,75000,66035,30570,0.4076,completed
2026-05-24,Shopee,ORD-1508,OCN-30,Ocean Blue 30ml,1,79000,2379,5679,2000,3956,25500,79000,70942,39486,0.4998227848101266,completed
2026-05-24,Shopee,ORD-1509,RGE-35,Rouge 540 35ml,1,99000,8318,8380,1200,7542,32000,99000,82302,41560,0.4197979797979798,completed
2026-05-24,Shopee,ORD-1510,MSK-30,Musk White 30ml,1,85000,7653,5767,1200,2874,28000,85000,71580,39506,0.4647764705882353,completed
2026-05-24,Shopee,ORD-1511,VNL-30,Vanilla Sweet 30ml,1,75000,8182,6277,1200,2405,24500,75000,60541,32436,0.43248,completed
2026-05-24,Shopee,ORD-1512,OCN-30,Ocean Blue 30ml,2,79000,15663,11438,4000,10882,25500,158000,130899,65017,0.4115,completed
2026-05-24,Shopee,ORD-1513,OCN-30,Ocean Blue 30ml,1,79000,4900,7037,1200,9482,25500,79000,67063,30881,0.3908987341772152,completed
2026-05-24,Shopee,ORD-1514,RGE-35,Rouge 540 35ml,1,99000,3507,7385,2000,12228,32000,99000,88108,41880,0.42303030303030303,completed
2026-05-24,Shopee,ORD-1515,OCN-30,Ocean Blue 30ml,2,79000,9166,9700,2400,7027,25500,158000,139134,78707,0.49814556962025314,completed
2026-05-24,Tokopedia,ORD-1516,RGE-35,Rouge 540 35ml,1,99000,4772,5818,1500,7904,32000,99000,88410,47006,0.4748080808080808,completed
2026-05-24,Shopee,ORD-1517,RGE-35,Rouge 540 35ml,2,99000,6604,11111,3000,23053,32000,198000,180285,90232,0.45571717171717174,completed
2026-05-24,Shopee,ORD-1518,OCN-30,Ocean Blue 30ml,1,79000,3316,4449,1500,4115,25500,79000,71235,40120,0.5078481012658228,completed
2026-05-24,TikTok Shop,ORD-1519,OCN-30,Ocean Blue 30ml,1,79000,9350,4830,1200,3525,25500,79000,64820,34595,0.43791139240506327,completed
2026-05-24,Shopee,ORD-1520,RGE-35,Rouge 540 35ml,1,99000,8684,6428,1500,4504,32000,99000,83888,45884,0.4634747474747475,completed
2026-05-24,Shopee,ORD-1521,RGE-35,Rouge 540 35ml,1,99000,10095,5965,1500,4013,32000,99000,82940,45427,0.45885858585858585,completed
2026-05-24,Tokopedia,ORD-1522,RGE-35,Rouge 540 35ml,1,99000,10076,8450,2000,5714,32000,99000,80474,40760,0.4117171717171717,completed
2026-05-24,TikTok Shop,ORD-1523,VNL-30,Vanilla Sweet 30ml,1,75000,8896,5018,2000,9663,24500,75000,61086,24923,0.33230666666666664,completed
2026-05-24,Tokopedia,ORD-1524,OCN-30,Ocean Blue 30ml,2,79000,9906,11164,2400,10020,25500,158000,136930,73510,0.46525316455696203,completed
2026-05-24,Tokopedia,ORD-1525,RGE-35,Rouge 540 35ml,2,99000,7494,11119,3000,22930,32000,198000,179387,89457,0.4518030303030303,completed
2026-05-24,TikTok Shop,ORD-1526,RGE-35,Rouge 540 35ml,1,99000,8568,7682,2000,3868,32000,99000,82750,44882,0.45335353535353534,completed
2026-05-24,Tokopedia,ORD-1527,RGE-35,Rouge 540 35ml,1,99000,3619,8857,2000,9925,32000,99000,86524,42599,0.4302929292929293,completed
2026-05-24,TikTok Shop,ORD-1528,SAV-50,Sauvage Night 50ml,2,129000,19172,20254,4000,9651,42000,258000,218574,120923,0.4686937984496124,completed
2026-05-24,Shopee,ORD-1529,OCN-30,Ocean Blue 30ml,1,79000,6116,7059,2000,7318,25500,79000,65825,31007,0.39249367088607595,completed
